order,date,level,avg
Acari,25-Jun,G,0.00
Acari,25-Jun,R,0.00
Acari,10-Jul,G,0.00
Acari,10-Jul,R,0.00
Acari,23-Jul,G,0.33
Acari,23-Jul,R,0.00
Acari,7-Aug,G,0.00
Acari,7-Aug,R,0.00
Araneae,25-Jun,G,0.00
Araneae,25-Jun,R,0.00
Araneae,10-Jul,G,0.00
Araneae,10-Jul,R,0.00
Araneae,23-Jul,G,0.00
Araneae,23-Jul,R,0.00
Araneae,7-Aug,G,0.00
Araneae,7-Aug,R,0.33
Coleoptera,25-Jun,G,0.00
Coleoptera,25-Jun,R,0.00
Coleoptera,10-Jul,G,0.00
Coleoptera,10-Jul,R,0.00
Coleoptera,23-Jul,G,0.33
Coleoptera,23-Jul,R,0.33
Coleoptera,7-Aug,G,0.00
Coleoptera,7-Aug,R,0.33
Collembola,25-Jun,G,3.00
Collembola,25-Jun,R,0.00
Collembola,10-Jul,G,1.33
Collembola,10-Jul,R,1.67
Collembola,23-Jul,G,0.00
Collembola,23-Jul,R,0.33
Collembola,7-Aug,G,0.33
Collembola,7-Aug,R,0.00
Diptera,25-Jun,G,4.67
Diptera,25-Jun,R,2.67
Diptera,10-Jul,G,21.33
Diptera,10-Jul,R,1.67
Diptera,23-Jul,G,9.00
Diptera,23-Jul,R,1.33
Diptera,7-Aug,G,15.33
Diptera,7-Aug,R,5.33
Hemiptera,25-Jun,G,4.67
Hemiptera,25-Jun,R,0.67
Hemiptera,10-Jul,G,2.33
Hemiptera,10-Jul,R,1.67
Hemiptera,23-Jul,G,1.33
Hemiptera,23-Jul,R,2.67
Hemiptera,7-Aug,G,0.33
Hemiptera,7-Aug,R,5.33
Hymenoptera,25-Jun,G,2.00
Hymenoptera,25-Jun,R,1.67
Hymenoptera,10-Jul,G,1.00
Hymenoptera,10-Jul,R,1.00
Hymenoptera,23-Jul,G,2.67
Hymenoptera,23-Jul,R,0.67
Hymenoptera,7-Aug,G,3.00
Hymenoptera,7-Aug,R,5.33
Psocodea,25-Jun,G,0.00
Psocodea,25-Jun,R,0.00
Psocodea,10-Jul,G,0.00
Psocodea,10-Jul,R,0.00
Psocodea,23-Jul,G,0.00
Psocodea,23-Jul,R,0.33
Psocodea,7-Aug,G,0.00
Psocodea,7-Aug,R,0.00
Siphonaptera,25-Jun,G,0.00
Siphonaptera,25-Jun,R,0.00
Siphonaptera,10-Jul,G,0.33
Siphonaptera,10-Jul,R,0.00
Siphonaptera,23-Jul,G,0.00
Siphonaptera,23-Jul,R,0.00
Siphonaptera,7-Aug,G,0.00
Siphonaptera,7-Aug,R,0.00
Thysanoptera,25-Jun,G,7.33
Thysanoptera,25-Jun,R,3.67
Thysanoptera,10-Jul,G,0.33
Thysanoptera,10-Jul,R,2.00
Thysanoptera,23-Jul,G,1.67
Thysanoptera,23-Jul,R,0.67
Thysanoptera,7-Aug,G,1.67
Thysanoptera,7-Aug,R,2.67
