date,position,order,family,morphospecies

25-Jun,G1A,hemiptera,aphididae,aph1

25-Jun,G1A,hemiptera,aphididae,aph2

25-Jun,G1A,diptera,dolichopodidae,dol1

25-Jun,G1A,diptera,dolichopodidae,dol3

25-Jun,G1A,thysanoptera,thysanoptera,thy1

25-Jun,G1A,thysanoptera,thysanoptera,thy1

25-Jun,G1A,thysanoptera,thysanoptera,thy2

25-Jun,G1A,thysanoptera,thysanoptera,thy3

25-Jun,G1B,hemiptera,aphididae,aph1

25-Jun,G1B,hemiptera,aphididae,aph2

25-Jun,G1B,hemiptera,aphididae,aph2

25-Jun,G1B,collembola,collembola,col1

25-Jun,G1B,hymenoptera,halictidae,hal1

25-Jun,G1B,hymenoptera,scelionidae,sce1

25-Jun,G1B,thysanoptera,thysanoptera,thy1

25-Jun,G2A,hemiptera,aphididae,aph2

25-Jun,G2A,hemiptera,aphididae,aph2

25-Jun,G2A,collembola,collembola,col1

25-Jun,G2A,collembola,collembola,col1

25-Jun,G2A,collembola,collembola,col1

25-Jun,G2A,collembola,collembola,col1

25-Jun,G2A,collembola,collembola,col1

25-Jun,G2A,collembola,collembola,col1

25-Jun,G2A,collembola,collembola,col1

25-Jun,G2A,diptera,dolichopodidae,dol3

25-Jun,G2A,hemiptera,psyllidae,psy1

25-Jun,G2A,thysanoptera,thysanoptera,thy1

25-Jun,G2A,thysanoptera,thysanoptera,thy1

25-Jun,G2B,diptera,dolichopodidae,dol1

25-Jun,G2B,diptera,dolichopodidae,dol1

25-Jun,G2B,diptera,dolichopodidae,dol3

25-Jun,G2B,hymenoptera,pteromalidae,pte1

25-Jun,G2B,thysanoptera,thysanoptera,thy1

25-Jun,G2B,thysanoptera,thysanoptera,thy1

25-Jun,G3A,hemiptera,aphididae,aph2

25-Jun,G3A,hemiptera,aphididae,aph2

25-Jun,G3A,diptera,dolichopodidae,dol1

25-Jun,G3A,diptera,dolichopodidae,dol1

25-Jun,G3A,diptera,dolichopodidae,dol3

25-Jun,G3A,diptera,dolichopodidae,dol3

25-Jun,G3A,diptera,dolichopodidae,dol3

25-Jun,G3A,diptera,dolichopodidae,dol3

25-Jun,G3A,hymenoptera,encyrtidae,enc1

25-Jun,G3A,hymenoptera,encyrtidae,enc1

25-Jun,G3A,hemiptera,membracidae,mem1

25-Jun,G3A,hymenoptera,mymaridae,mym1

25-Jun,G3A,hemiptera,stenorrhyncha,ste1

25-Jun,G3A,hemiptera,stenorrhyncha,ste1

25-Jun,G3A,thysanoptera,thysanoptera,thy1

25-Jun,G3A,thysanoptera,thysanoptera,thy1

25-Jun,G3A,thysanoptera,thysanoptera,thy1

25-Jun,G3A,thysanoptera,thysanoptera,thy1

25-Jun,G3A,thysanoptera,thysanoptera,thy1

25-Jun,G3A,thysanoptera,thysanoptera,thy3

25-Jun,G3B,hemiptera,aphididae,aph1

25-Jun,G3B,collembola,collembola,col1

25-Jun,G3B,diptera,dolichopodidae,dol3

25-Jun,G3B,diptera,dolichopodidae,dol3

25-Jun,G3B,thysanoptera,thysanoptera,thy1

25-Jun,G3B,thysanoptera,thysanoptera,thy1

25-Jun,G3B,thysanoptera,thysanoptera,thy1

